Item ID,X,Y,Z
BP_BerryBush100,-203763.265625,23023.15625,-1244.1317138671875
BP_BerryBush1000_17,107427.1953125,-41257.5078125,14887.0126953125
BP_BerryBush1001,73074.4296875,70214.5,14763.4931640625
BP_BerryBush1002,73134.7421875,69510.3359375,15776.0380859375
BP_BerryBush1003,76864.3984375,69428.625,15297.8330078125
BP_BerryBush1004,79483.53125,69080.75,15335.40625
BP_BerryBush1005,81781.25,69594.9921875,12779.73046875
BP_BerryBush1006,85199.0,72629.484375,13680.302734375
BP_BerryBush1007,87417.7578125,72606.4453125,13666.5615234375
BP_BerryBush1008,85933.0,69188.421875,13677.3115234375
BP_BerryBush1009,55900.96875,77882.0078125,15716.3935546875
BP_BerryBush101,-205272.875,24472.763671875,-1258.466064453125
BP_BerryBush1010,94914.8671875,56157.23828125,10341.6494140625
BP_BerryBush1011,94186.828125,54659.16015625,10226.8798828125
BP_BerryBush1012,90078.46875,52217.30859375,10222.640625
BP_BerryBush1013,87248.171875,54249.8671875,11320.423828125
BP_BerryBush1014,84678.359375,54106.41015625,11482.7890625
BP_BerryBush1015,76345.5390625,39809.06640625,12492.142578125
BP_BerryBush1016,74817.4140625,37334.75,13103.8876953125
BP_BerryBush1017,68742.1015625,29487.052734375,13626.48828125
BP_BerryBush1018,87224.671875,4593.63623046875,16535.431640625
BP_BerryBush1019,54380.96875,79482.0078125,15589.177734375
BP_BerryBush102,-206326.15625,22213.09765625,-1264.5731201171875
BP_BerryBush1020,89673.421875,6241.59423828125,16368.6328125
BP_BerryBush1021,90456.7734375,5241.86376953125,16052.2890625
BP_BerryBush1022,92636.1640625,6519.466796875,16031.4404296875
BP_BerryBush1023,94582.1171875,6257.5341796875,16096.9384765625
BP_BerryBush1024,95845.546875,5258.52294921875,16073.0546875
BP_BerryBush1025,90095.484375,2601.346923828125,16057.744140625
BP_BerryBush1026,92017.90625,966.8495483398438,15993.3193359375
BP_BerryBush1027,92174.296875,-2043.28662109375,15709.5234375
BP_BerryBush1028,90476.484375,-3243.75146484375,15283.4677734375
BP_BerryBush1029,95001.625,313.1320495605469,16052.41015625
BP_BerryBush103,-206716.5,21402.849609375,-1280.6561279296875
BP_BerryBush1030,96982.7578125,872.4083862304688,16046.5126953125
BP_BerryBush1031,103003.1171875,-2322.447509765625,14849.958984375
BP_BerryBush1032,99332.015625,-4103.99951171875,16154.197265625
BP_BerryBush1033,96550.765625,-5391.06591796875,16018.9267578125
BP_BerryBush1034,98138.8671875,-7682.1201171875,15879.1171875
BP_BerryBush1035,96678.3515625,-9693.5322265625,16201.3271484375
BP_BerryBush1036,96248.5,-8336.205078125,16281.87890625
BP_BerryBush1037,96214.4453125,-11718.478515625,16081.388671875
BP_BerryBush1038,98171.359375,-14148.6005859375,16017.314453125
BP_BerryBush1039,98758.3671875,-11028.1015625,15528.693359375
BP_BerryBush104,-208659.21875,21697.62890625,-1267.673828125
BP_BerryBush1040,74553.03125,33771.66015625,13120.0869140625
BP_BerryBush1041,70881.4765625,39981.39453125,11420.5400390625
BP_BerryBush1042,82750.5625,34382.56640625,11375.28515625
BP_BerryBush1043,84124.1484375,29430.455078125,11843.728515625
BP_BerryBush1044,75471.5234375,25134.171875,13195.7158203125
BP_BerryBush1045,77935.875,20643.0703125,14192.3095703125
BP_BerryBush1046,81689.6484375,12574.171875,14166.51953125
BP_BerryBush1047,99034.2421875,-883.5870971679688,16049.67578125
BP_BerryBush1048_9746,68175.96875,101712.0078125,11389.6171875
BP_BerryBush1049,68255.96875,99937.0078125,12178.9169921875
BP_BerryBush105,-209421.21875,22110.22265625,-1243.4825439453125
BP_BerryBush1050,101002.703125,-3466.4169921875,16599.00390625
BP_BerryBush1051,103828.9765625,-784.2935180664062,16335.775390625
BP_BerryBush1052,101876.84375,-1323.5498046875,16725.880859375
BP_BerryBush1053,102403.0078125,1153.892578125,15705.6396484375
BP_BerryBush1054,100614.3828125,2484.511474609375,17464.673828125
BP_BerryBush1055,96312.609375,8043.63427734375,15486.9697265625
BP_BerryBush1056,96344.5234375,6540.1728515625,15477.521484375
BP_BerryBush1057,98898.5078125,6396.19775390625,15798.515625
BP_BerryBush1058,100724.765625,5741.8818359375,15686.6259765625
BP_BerryBush1059,99142.3359375,7096.87255859375,14757.9345703125
BP_BerryBush106,-208129.5625,22810.197265625,-1270.2005615234375
BP_BerryBush1060,98119.2578125,6989.7841796875,15479.2509765625
BP_BerryBush1061,95943.8046875,8836.92578125,14192.494140625
BP_BerryBush1062,108697.015625,13773.423828125,12551.09765625
BP_BerryBush1063,105740.546875,3727.651123046875,12601.521484375
BP_BerryBush1064,93781.171875,-7277.318359375,13667.060546875
BP_BerryBush1065,94237.1953125,-11414.7138671875,13322.4716796875
BP_BerryBush1066,93068.0390625,-13845.6162109375,13404.6650390625
BP_BerryBush1067,90761.4296875,-7362.22607421875,13172.6748046875
BP_BerryBush1068,83181.75,-2204.074951171875,13569.0224609375
BP_BerryBush1069,94204.8203125,-19399.787109375,14394.685546875
BP_BerryBush107,-204669.640625,21109.45703125,-1285.260986328125
BP_BerryBush1070,112425.3515625,14934.7314453125,17832.751953125
BP_BerryBush1071,122331.3828125,8275.564453125,16193.8515625
BP_BerryBush1072,125083.0859375,7714.89404296875,15905.2587890625
BP_BerryBush1073,124399.046875,2271.726318359375,15988.169921875
BP_BerryBush1074,126958.8125,1194.524169921875,15728.2705078125
BP_BerryBush1075,133099.796875,1560.2498779296875,15844.5400390625
BP_BerryBush1076,131502.25,-1919.0946044921875,16135.5634765625
BP_BerryBush1077,133657.921875,-1265.267822265625,16338.8671875
BP_BerryBush1078,134611.1875,1414.2796630859375,16043.23046875
BP_BerryBush1079,134663.109375,-3151.698486328125,16387.556640625
BP_BerryBush108,-204645.09375,20047.140625,-1288.43212890625
BP_BerryBush1080,130794.671875,-630.2731323242188,15787.1953125
BP_BerryBush1081,138016.390625,15809.80078125,11846.896484375
BP_BerryBush1082,140361.21875,17011.130859375,12198.177734375
BP_BerryBush1083,140575.359375,19165.298828125,12702.8759765625
BP_BerryBush1084,144513.03125,19127.53125,12413.4794921875
BP_BerryBush1085,142619.484375,14237.3837890625,12131.8427734375
BP_BerryBush1086,142149.71875,19989.65625,10342.78515625
BP_BerryBush1087,138805.53125,22010.857421875,12685.2431640625
BP_BerryBush1088,136865.890625,27661.494140625,12060.4267578125
BP_BerryBush1089,142434.546875,24123.220703125,10695.48046875
BP_BerryBush109,-199675.90625,16212.3193359375,-948.5745849609375
BP_BerryBush1090,118796.0,26067.8125,13043.484375
BP_BerryBush1091,120383.2421875,35358.80078125,10336.8193359375
BP_BerryBush1092,123497.453125,35698.83203125,10159.76953125
BP_BerryBush1093,121072.46875,36495.4296875,9914.25390625
BP_BerryBush1094,118695.109375,39997.25390625,9983.2939453125
BP_BerryBush1095,114917.21875,46183.015625,10175.3525390625
BP_BerryBush1096,117301.171875,47780.46484375,10219.8505859375
BP_BerryBush1097,114997.25,50624.4765625,10178.53515625
BP_BerryBush1098,112221.921875,49816.109375,10115.2314453125
BP_BerryBush1099,106657.2890625,64449.85546875,10087.76953125
BP_BerryBush10_1901,-109847.0,136312.0,4336.0
BP_BerryBush110,-196716.1875,22330.814453125,-980.2609252929688
BP_BerryBush1100,102327.59375,63768.7421875,9847.8466796875
BP_BerryBush1101,105351.171875,72555.40625,9663.072265625
BP_BerryBush1102_20,108154.2109375,-44062.4375,14740.5634765625
BP_BerryBush1103_23,111006.4609375,-42863.79296875,14812.62890625
